,notes
144,"[[10, 9, 8, 7, 5, 4, 3, 1], [10, 9, 8, 7, 5, 4, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 10, 9, 7, 6, 5, 4, 3, 1], [12, 11, 10, 9, 7, 6, 5, 4, 3, 1]]"
145,"[[12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 3, 1], [9, 5, 4, 3, 1], [9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 1]]"
146,"[[9, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 7, 6, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 1], [12, 11, 9, 8, 7, 6, 5, 4, 1, 1], [12, 11, 9, 8, 7, 5, 1]]"
147,"[[9, 7, 5, 4, 1], [9, 7, 5, 4, 1], [9, 5, 4, 1], [9, 7, 5, 4, 1], [11, 9, 7, 5, 4, 1], [11, 9, 5, 4, 1], [11, 9, 5, 4, 3, 1], [11, 5, 4, 3, 1]]"
148,"[[9, 7, 5, 4, 3, 2, 1], [12, 9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 7, 5, 4, 3, 1], [11, 10, 9, 8, 7, 5, 4, 3, 1]]"
149,"[[10, 9, 9, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [11, 10, 9, 7, 5, 4, 3, 2, 1]]"
150,"[[11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 3, 1], [11, 9, 8, 7, 6, 5, 1], [11, 9, 7, 6, 5, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1]]"
151,"[[9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [9, 5, 4, 3, 1], [9, 5, 3, 1], [9, 5, 4, 3, 1], [9, 5, 3, 1], [9, 5, 4, 3, 1], [9, 5, 3, 1]]"
152,"[[11, 9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 5, 3, 1], [12, 11, 9, 7, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1]]"
153,"[[9, 8, 7, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 10, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1]]"
154,"[[12, 11, 9, 8, 7, 6, 5, 1], [12, 11, 9, 7, 6, 5, 1], [12, 11, 9, 7, 5, 3, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 2, 1], [12, 11, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1]]"
155,"[[10, 9, 7, 6, 5, 4, 3, 1], [10, 9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 3, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 3, 2, 1], [9, 7, 6, 5, 3, 1], [9, 7, 6, 5, 4, 3, 1, 1]]"
156,"[[9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 3, 1], [11, 9, 8, 7, 5, 3, 2, 1], [9, 7, 5, 3, 2, 1], [9, 7, 5, 3, 1]]"
157,"[[9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [10, 9, 8, 7, 5, 4, 3, 2, 1], [11, 10, 9, 8, 7, 5, 4, 3, 1]]"
158,"[[9, 8, 7, 5, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [11, 7, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1]]"
159,"[[9, 8, 7, 5, 3, 1], [10, 9, 8, 7, 5, 3, 2, 1], [10, 9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 5, 4, 3, 1]]"
160,"[[9, 5, 3, 1], [11, 9, 5, 3, 1], [11, 9, 5, 4, 3, 1], [11, 9, 5, 4, 1], [12, 11, 9, 5, 4, 1], [12, 11, 9, 5, 1], [11, 9, 5, 1], [11, 5, 1, 1]]"
161,"[[10, 9, 8, 7, 5, 3, 1], [11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 1], [11, 9, 8, 7, 6, 5, 1], [11, 9, 7, 6, 5, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 2, 1]]"
162,"[[12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 7, 6, 5, 4, 3, 2, 1]]"
163,"[[11, 9, 7, 6, 5, 4, 3, 2, 1], [10, 9, 7, 6, 5, 4, 3, 2, 1], [11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 10, 9, 5, 4, 3, 2, 1]]"
164,"[[9, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1]]"
165,"[[12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 5, 4, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 3, 1]]"
166,"[[12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 7, 5, 3, 2, 1], [11, 10, 9, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 7, 5, 3, 2, 1], [12, 11, 9, 7, 6, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1]]"
167,"[[12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 5, 4, 3, 1]]"
168,"[[9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 3, 2, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 5, 3, 2, 1], [12, 11, 10, 9, 7, 5, 3, 1], [12, 11, 9, 5, 3, 1]]"
169,"[[12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1]]"
170,"[[12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 5, 3, 1]]"
171,"[[12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1]]"
172,"[[9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [11, 10, 9, 7, 5, 4, 3, 2, 1], [11, 10, 9, 7, 5, 4, 3, 1], [11, 10, 9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 8, 7, 6, 5, 3, 1]]"
173,"[[11, 9, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [10, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1]]"
174,"[[12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 1], [12, 11, 9, 5, 4, 3, 1]]"
175,"[[9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [10, 9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 9, 7, 5, 4, 3, 1], [9, 7, 5, 5, 4, 3, 1], [9, 7, 5, 3, 1], [9, 7, 5, 3, 1]]"
176,"[[9, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 2, 1], [11, 9, 5, 4, 3, 1], [11, 10, 9, 7, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1]]"
177,"[[11, 9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [10, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [10, 9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 7, 6, 5, 4, 3, 2, 1, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1]]"
178,"[[12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1]]"
179,"[[12, 11, 9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 3, 1], [11, 9, 7, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1]]"
180,"[[11, 9, 7, 6, 5, 3, 1], [12, 11, 9, 7, 5, 3, 1], [12, 11, 9, 5, 3, 2, 1], [12, 11, 9, 7, 5, 3, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 3, 1]]"
181,"[[9, 7, 5, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1]]"
182,"[[9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 1], [11, 10, 9, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1]]"
183,"[[12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 5, 4, 3, 2, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 5, 3, 2, 1], [12, 11, 10, 9, 7, 5, 3, 2, 1], [12, 11, 10, 9, 5, 3, 2, 1], [12, 11, 9, 5, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1]]"
184,"[[9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1], [10, 9, 8, 7, 5, 4, 3, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1]]"
185,"[[12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 1], [9, 8, 7, 5, 4, 1], [10, 9, 8, 7, 5, 4, 3, 1]]"
186,"[[11, 9, 5, 1], [11, 9, 5, 1], [12, 11, 9, 5, 1], [12, 11, 9, 1], [12, 11, 9, 5, 1], [12, 11, 9, 5, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1]]"
187,"[[12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 2, 1], [12, 11, 9, 5, 3, 1, 1], [12, 11, 9, 5, 3, 1], [12, 11, 9, 5, 4, 3, 2, 1], [12, 11, 9, 5, 3, 1], [12, 11, 9, 5, 1], [12, 11, 9, 5, 1]]"
188,"[[11, 9, 8, 7, 5, 3, 2, 1], [11, 9, 7, 5, 3, 2, 1], [11, 9, 7, 5, 3, 2, 1], [9, 7, 5, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [11, 9, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1]]"
189,"[[12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 7, 5, 4, 3, 1], [11, 10, 9, 7, 5, 4, 3, 2, 1]]"
190,"[[11, 9, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 10, 9, 7, 6, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [11, 10, 9, 7, 5, 4, 3, 1], [11, 10, 9, 7, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1]]"
191,"[[9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1, 1], [11, 9, 7, 6, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [10, 9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1]]"
192,"[[9, 8, 7, 6, 5, 4, 1], [9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [9, 7, 5, 3, 1], [9, 5, 3, 1], [9, 5, 4, 3, 1], [9, 5, 4, 3, 1]]"
193,"[[9, 7, 5, 3, 1], [9, 7, 5, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 1], [9, 7, 5, 1], [11, 9, 7, 5, 1], [9, 7, 5, 1], [9, 8, 7, 5, 1]]"
194,"[[9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [9, 9, 8, 7, 5, 4, 3, 1]]"
195,"[[11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 1], [12, 11, 9, 8, 7, 5, 4, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1]]"
196,"[[9, 7, 6, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1]]"
197,"[[11, 9, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 7, 6, 5, 4, 3, 1], [10, 9, 7, 5, 3, 1], [10, 9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 3, 1], [10, 9, 8, 7, 5, 3, 1]]"
198,"[[9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1]]"
199,"[[12, 11, 9, 8, 7, 6, 5, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 1]]"
200,"[[11, 10, 9, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 3, 1, 1], [12, 11, 9, 5, 3, 1], [11, 9, 5, 3, 1]]"
201,"[[11, 9, 7, 6, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 5, 3, 2, 1], [12, 11, 9, 7, 6, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 5, 4, 3, 1]]"
202,"[[9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 7, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 3, 1], [9, 7, 6, 5, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1]]"
203,"[[9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1]]"
204,"[[9, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1, 1], [10, 9, 8, 7, 5, 4, 3, 1]]"
205,"[[12, 11, 9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 3, 1], [11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 10, 9, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1]]"
206,"[[11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1, 1], [12, 11, 9, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1]]"
207,"[[9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 7, 6, 5, 5, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 3, 2, 1], [11, 9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 1], [9, 8, 7, 5, 1], [9, 8, 7, 5, 3, 1]]"
208,"[[9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 1], [9, 7, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1]]"
209,"[[9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [10, 9, 8, 7, 6, 5, 3, 2, 1], [9, 7, 6, 5, 3, 2, 1]]"
210,"[[11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 1], [11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 7, 5, 3, 1], [10, 9, 7, 5, 3, 1]]"
211,"[[9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [9, 7, 5, 3, 1], [9, 8, 7, 5, 3, 1]]"
212,"[[9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 1]]"
213,"[[12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 10, 9, 7, 6, 5, 1], [12, 11, 10, 9, 7, 5, 3, 1], [12, 11, 10, 9, 8, 7, 5, 1], [12, 11, 9, 8, 7, 5, 4, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1]]"
214,"[[12, 11, 9, 7, 5, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1], [9, 5, 4, 3, 1], [9, 5, 4, 3, 1], [9, 5, 3, 1], [9, 5, 3, 1], [9, 5, 3, 1]]"
215,"[[9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 3, 2, 1], [9, 7, 6, 5, 3, 1], [9, 7, 6, 5, 4, 3, 2, 1, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 1], [9, 5, 3, 1], [9, 8, 5, 3, 1]]"
216,"[[9, 7, 5, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 3, 2, 1], [12, 11, 9, 8, 7, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 3, 1]]"
